INDEX:635:<DateTimeISO>,IceCreamProduction:635:<double>
1991-03-01,118.4885
1991-04-01,123.4252
1991-05-01,128.3343
1991-06-01,157.9812
1991-07-01,141.1174
1991-08-01,136.1003
1991-09-01,121.3643
1991-10-01,104.0879
1991-11-01,92.1645
1991-12-01,89.2755
1992-01-01,90.5020
1992-02-01,110.7500
1992-03-01,131.8723
1992-04-01,135.6330
1992-05-01,143.2355
1992-06-01,158.7806
1992-07-01,147.5208
1992-08-01,144.3841
1992-09-01,127.4546
1992-10-01,109.8583
1992-11-01,99.6400
1992-12-01,93.2633
1993-01-01,95.6677
1993-02-01,123.8295
1993-03-01,134.0418
1993-04-01,141.2105
1993-05-01,151.0457
1993-06-01,165.6156
1993-07-01,159.9157
1993-08-01,152.7157
1993-09-01,128.7107
1993-10-01,109.9229
1993-11-01,96.6264
1993-12-01,90.8049
1994-01-01,99.8044
1994-02-01,120.0983
1994-03-01,134.6897
1994-04-01,141.7197
1994-05-01,145.2618
1994-06-01,159.7425
1994-07-01,156.3514
1994-08-01,143.9987
1994-09-01,121.6971
1994-10-01,110.2711
1994-11-01,102.3886
1994-12-01,94.4172
1995-01-01,105.2672
1995-02-01,122.9596
1995-03-01,139.2910
1995-04-01,150.4986
1995-05-01,149.1511
1995-06-01,174.9823
1995-07-01,173.5338
1995-08-01,165.2278
1995-09-01,138.3632
1995-10-01,127.4026
1995-11-01,108.4160
1995-12-01,96.0751
1996-01-01,109.1190
1996-02-01,129.8410
1996-03-01,145.8950
1996-04-01,152.4636
1996-05-01,157.5090
1996-06-01,184.7286
1996-07-01,169.9401
1996-08-01,153.3872
1996-09-01,136.6649
1996-10-01,113.5492
1996-11-01,97.7285
1996-12-01,94.7272
1997-01-01,103.8957
1997-02-01,127.5271
1997-03-01,138.4963
1997-04-01,137.9509
1997-05-01,142.1123
1997-06-01,158.8833
1997-07-01,146.7837
1997-08-01,137.9616
1997-09-01,116.8531
1997-10-01,105.8213
1997-11-01,94.8081
1997-12-01,83.8158
1998-01-01,96.8890
1998-02-01,118.6266
1998-03-01,129.7952
1998-04-01,134.8141
1998-05-01,141.0196
1998-06-01,149.7665
1998-07-01,139.7450
1998-08-01,130.3321
1998-09-01,115.1117
1998-10-01,96.9098
1998-11-01,82.5251
1998-12-01,78.9350
1999-01-01,86.6664
1999-02-01,100.9381
1999-03-01,106.7320
1999-04-01,113.0016
1999-05-01,116.6161
1999-06-01,129.2240
1999-07-01,122.4839
1999-08-01,119.9976
1999-09-01,103.8416
1999-10-01,92.4110
1999-11-01,84.5950
1999-12-01,79.7744
2000-01-01,93.6497
2000-02-01,111.6591
2000-03-01,125.4885
2000-04-01,136.9998
2000-05-01,136.0725
2000-06-01,150.6444
2000-07-01,145.9421
2000-08-01,132.2898
2000-09-01,117.5863
2000-10-01,114.1228
2000-11-01,92.9440
2000-12-01,88.8065
2001-01-01,101.7017
2001-02-01,116.3400
2001-03-01,123.0598
2001-04-01,134.7936
2001-05-01,132.3778
2001-06-01,148.8520
2001-07-01,141.8846
2001-08-01,135.1616
2001-09-01,128.9880
2001-10-01,115.4448
2001-11-01,105.3959
2001-12-01,104.9081
2002-01-01,121.3189
2002-02-01,144.1132
2002-03-01,155.6793
2002-04-01,169.7382
2002-05-01,165.7199
2002-06-01,189.4458
2002-07-01,173.7921
2002-08-01,163.7665
2002-09-01,151.1077
2002-10-01,137.2079
2002-11-01,114.9368
2002-12-01,105.9700
2003-01-01,125.6681
2003-02-01,142.8665
2003-03-01,145.1443
2003-04-01,151.9077
2003-05-01,147.8279
2003-06-01,163.3860
2003-07-01,146.5825
2003-08-01,141.5904
2003-09-01,127.1380
2003-10-01,116.2060
2003-11-01,107.0172
2003-12-01,93.8172
2004-01-01,104.4360
2004-02-01,126.4079
2004-03-01,140.8728
2004-04-01,149.0909
2004-05-01,150.9093
2004-06-01,169.5462
2004-07-01,157.7398
2004-08-01,153.9919
2004-09-01,144.8685
2004-10-01,139.9560
2004-11-01,120.8944
2004-12-01,111.6316
2005-01-01,130.6849
2005-02-01,148.6717
2005-03-01,159.7887
2005-04-01,172.3897
2005-05-01,170.5077
2005-06-01,196.8174
2005-07-01,190.8753
2005-08-01,179.8737
2005-09-01,154.2423
2005-10-01,144.6826
2005-11-01,122.6124
2005-12-01,107.2950
2006-01-01,131.2472
2006-02-01,144.7574
2006-03-01,156.8608
2006-04-01,168.2509
2006-05-01,160.4323
2006-06-01,183.1897
2006-07-01,176.5790
2006-08-01,164.7890
2006-09-01,146.8680
2006-10-01,128.3116
2006-11-01,111.4252
2006-12-01,102.6234
2007-01-01,126.6574
2007-02-01,139.5331
2007-03-01,153.5672
2007-04-01,170.5175
2007-05-01,167.8389
2007-06-01,180.6611
2007-07-01,167.7507
2007-08-01,149.7027
2007-09-01,142.4267
2007-10-01,126.7301
2007-11-01,104.3584
2007-12-01,99.8164
2008-01-01,108.3447
2008-02-01,125.2219
2008-03-01,140.2536
2008-04-01,142.2769
2008-05-01,144.1396
2008-06-01,169.9479
2008-07-01,145.4843
2008-08-01,140.2359
2008-09-01,124.4143
2008-10-01,109.3019
2008-11-01,102.7684
2008-12-01,84.0573
2009-01-01,94.4856
2009-02-01,115.5748
2009-03-01,130.0349
2009-04-01,133.4877
2009-05-01,138.4192
2009-06-01,150.8204
2009-07-01,134.8987
2009-08-01,132.9408
2009-09-01,119.8147
2009-10-01,107.1065
2009-11-01,88.1286
2009-12-01,78.0378
2010-01-01,91.5768
2010-02-01,110.8493
2010-03-01,127.5018
2010-04-01,133.0713
2010-05-01,134.9899
2010-06-01,144.4155
2010-07-01,129.2722
2010-08-01,125.9611
2010-09-01,116.4423
2010-10-01,98.0660
2010-11-01,81.3467
2010-12-01,73.0123
2011-01-01,92.9052
2011-02-01,106.5017
2011-03-01,114.6088
2011-04-01,116.9903
2011-05-01,116.5011
2011-06-01,121.1524
2011-07-01,116.6261
2011-08-01,115.3644
