INDEX:564:<DateTimeAME>,Open:564:<double>,High:564:<double>,Low:564:<double>,Close:564:<double>,Mean:564:<double>,Median:564:<double>,25% Quantile:564:<double>,Std:564:<double>,MAD:564:<double>,Z Score:564:<dbl_vec>,Return Vector:564:<dbl_vec>,Volume:564:<long>
01/14/2000 00:00:00.000,0.999442,0.999442,0.77846,0.896763,0.8819754,0.8805805,0.8560265,0.0600931968588,0.0436942,10[1.95474040557|0.552535091086|0.775388936446|-0.561817339812|0.106794118727|-0.153218675013|-0.896114748672|-1.72258101434|-0.301804546072|0.246077772077],10[nan|-0.0880774486841|0.0145271707318|-0.0905138828444|0.0462812502102|-0.0177444424202|-0.0525056610608|-0.0618465000812|0.104068799754|0.0374052042538],6400945600
01/31/2000 00:00:00.000,0.928013,1.013393,0.907366,0.926339,0.9637277,0.966797,0.938337,0.0362519289143,0.0313617,10[-0.985180680575|-0.338649566179|1.37000434149|0.831246802651|-0.415610988193|1.06213106869|0.554158098662|0.507981245453|-1.55472278822|-1.03135753378],10[nan|0.0249424464661|0.0630711978028|-0.0194610215573|-0.0465468473524|0.0549332751024|-0.0185448876235|-0.0017029852129|-0.0791910220998|0.0206943615298],6154232000
02/14/2000 00:00:00.000,0.895089,1.03404,0.882254,1.03404,0.9732142,0.988281,0.9433595,0.0559733198384,0.0462054,10[-1.39575784008|-1.62506351709|-0.907239380237|-0.159508137551|0.807541881212|0.937157205458|0.578236204203|0.717820563726|-0.0398797142361|1.0866927346],10[nan|-0.0144431582643|0.0445347481434|0.0443731865567|0.0546148450139|0.00709856044603|-0.0197815681129|0.0077396171231|-0.0427514550483|0.0629208085103],3714592000
02/29/2000 00:00:00.000,1.0625,1.0625,0.985491,1.023438,1.0203265,1.0212055,1.013672,0.0217113745778,0.0153041,10[1.94246107491|-0.062340594565|0.246115232403|-1.24462409799|-0.190844664632|0.8115331407|0.381021476571|-1.60448155299|-0.422151990754|0.143311976349],10[nan|-0.0418293644921|0.00655080026098|-0.0320645763734|0.0227719698354|0.0211903092219|-0.00904607810607|-0.0428129670141|0.0257144604799|0.0120683722023],3605190400
03/14/2000 00:00:00.000,1.163504,1.163504,1.020089,1.020089,1.1021763,1.094308,1.089286,0.0391769782484,0.02852676,10[1.56540148684|-0.329027418048|1.03838279058|0.511364094315|-0.129624596563|-0.329027418048|-0.272055183338|0.525607152992|-0.485726588695|-2.09529432003],10[nan|-0.065913705924|0.0480088318913|-0.0182313122619|-0.0226314435108|-0.00714607611856|0.00204695220601|0.0282276769821|-0.0359263720415|-0.0599808144882],3724291200
03/28/2000 00:00:00.000,1.037946,1.287388,1.037946,1.242188,1.1818079,1.22154,1.1071425,0.0884013960529,0.07792432,10[-1.62737135864|-1.09080743411|-0.74361834694|-0.945617419322|0.260076209501|1.19432616128|0.903957443751|0.638825884223|0.727206841412|0.683022018836],10[nan|0.044685474485|0.027885247253|-0.0161292580924|0.0926275241352|0.0663026114307|-0.0201402825951|-0.0187509493805|0.00628973142727|-0.00313951811596],3915195200
04/11/2000 00:00:00.000,1.213728,1.213728,1.066406,1.066406,1.1516742,1.150391,1.120257,0.0478024955643,0.0397322,10[1.29812887941|-0.604700647084|1.27478281794|0.807819749662|-0.312853959264|0.25916638564|-0.709757923712|0.515973061842|-0.744797935331|-1.7837604291],10[nan|-0.0778995498941|0.0769796457762|-0.0185797357845|-0.0460509322898|0.0237704289328|-0.0406023140482|0.0510929157343|-0.052592591235|-0.045520365734],3761576000
04/26/2000 00:00:00.000,0.975446,1.145647,0.975446,1.083147,1.0676897,1.078683,1.0387835,0.0559961918845,0.04377236,10[-1.64732094979|-0.91982505|-1.22875677228|0.684641199871|1.1629951575|0.246147095653|-0.112609443389|0.14649746213|1.3921893146|0.27604198571],10[nan|0.040913927726|-0.0171700742389|0.10189093829|0.0239296047814|-0.0463799191068|-0.0187502839054|0.0135772975477|0.0628185285033|-0.0560988500392],5383515200
05/10/2000 00:00:00.000,1.131696,1.131696,0.886719,0.886719,1.0238839,1.0186945,0.98577,0.078604326103,0.0619419,10[1.37157972525|1.06631662856|1.09471201225|0.363479994251|0.0440192057046|-0.452938174845|-0.176057739899|-0.516827788165|-1.04927939834|-1.74500446477],10[nan|-0.0214306961661|0.00201295683027|-0.0531741228262|-0.0241486992718|-0.0387650397607|0.0217830930326|-0.0268775987101|-0.0434980621551|-0.0598463685108],3259334400
05/24/2000 00:00:00.000,0.917969,0.960938,0.766183,0.782924,0.8720425,0.90067,0.8211495,0.0690093195675,0.0593528,10[0.665511561161|1.28816659195|0.431007002915|1.03747581412|0.479522189284|0.398663545336|-0.474667772488|-1.00029243054|-1.53398846219|-1.29139803955],10[nan|0.0457462697729|-0.0635326494001|0.0453653766641|-0.0416596189865|-0.00618391409702|-0.069347554558|-0.0441806272766|-0.0469498585039|0.0216145840981],5390134400
06/08/2000 00:00:00.000,0.779157,0.862165,0.75,0.84654,0.8057616,0.8055245,0.7804825,0.0359003121008,0.0301758,10[-0.741068766347|-0.962571018965|-0.667225397171|-1.55323440764|-0.278621533203|0.576301396543|0.265412734387|0.654016598354|1.57111168955|1.1358787045],10[nan|-0.0102583393229|0.0136549594248|-0.0415359795723|0.0592231696527|0.0378442531741|-0.0135967511873|0.0169669464178|0.0389358430717|-0.0182892138062],4855849600
06/22/2000 00:00:00.000,0.854911,0.993304,0.807478,0.959821,0.867913,0.8493305,0.8194755,0.064586081237,0.0506808,10[-0.201312724831|-0.832052339618|-0.37412085603|-0.935727928409|-0.667883840818|-0.832052339618|-0.0803578712409|0.559021375945|1.94145545911|1.42303106551],10[nan|-0.0488232675783|0.0356821398137|-0.0439404320431|0.0211972366223|-0.0129389443929|0.0579195638386|0.0467556054867|0.0941874884956|-0.0342899514509],3576843200
07/07/2000 00:00:00.000,0.922991,0.972098,0.915179,0.972098,0.9407366,0.9302455,0.923549,0.0226808792853,0.01995532,10[-0.78240352928|1.13670196273|-0.73319908769|1.38272417068|-1.12683462041|-0.24111058179|0.497000132058|-0.83160797087|-0.6839946461|1.38272417068],10[nan|0.0460804387329|-0.0448720565726|0.0506287566203|-0.0603369478653|0.0217134446758|0.0177413692943|-0.032164849|0.00362515000995|0.0494218328853],2316171200
