
1,187.210007,187.399994,185.199997,185.529999,140.697495,4546500
2,185.830002,187.350006,185.300003,186.639999,141.539261,4063200
3,187.149994,187.360001,185.300003,186.000000,141.053940,4067800
4,186.389999,190.350006,186.380005,189.710007,143.867477,5932300
5,189.330002,189.419998,187.259995,187.970001,142.547913,4603700
6,189.020004,189.500000,186.550003,187.380005,142.100449,4321300
7,188.309998,188.570007,186.279999,187.259995,142.009460,4022400
8,186.259995,186.949997,183.860001,184.160004,139.658600,5784700
9,185.059998,186.429993,183.880005,185.919998,140.993225,4619200
10,185.820007,188.649994,185.490005,187.740005,142.373489,4816500
11,187.529999,188.990005,186.800003,188.759995,143.146988,4770300
12,188.039993,190.809998,187.860001,190.089996,144.155609,7644600
